service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
G2601L_A96_023-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_023-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_023-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_023-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_025-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_027-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_028-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_029-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_029-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_030-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_030-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_031-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_031-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_031-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_031-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_032-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_032-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_032-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_032-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_033-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_033-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_033-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_033-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_034-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_034-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_035-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_036-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_037-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_037-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_037-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_038-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_038-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_040-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_041-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_041-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_041-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_041-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_041-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_042-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_043-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_044-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_044-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_044-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_049-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_049-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_049-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_062-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_062-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_062-03,0,0,0,0,0,0,0,20260504,20260508
